RFID,Sex,Elevation,TestYear,I.TotTrials,I.20.LocErr,I.Tot.LocErr,R.TotTrials,R.20.LocErr,R.Tot.LocErr
0700EE2C92,F,L,2016_17,291,1.5,0.250859107,,,
011016A5C0,F,H,2018_19,297,0.35,0.161616162,,,
0700EE04B3,F,L,2016_17,313,0.85,0.150159744,,,
0700EE1D35,F,L,2018_19,20,0.95,0.95,,,
0700EDEA14,M,L,2016_17,200,1,0.31,,,
0700EE2B72,F,L,2016_17,209,1.25,0.344497608,,,
0700ED9109,F,L,2016_17,330,0.6,0.224242424,,,
0700EDF74B,M,L,2016_17,149,0.25,0.228187919,,,
0700ED9084,F,H,2018_19,237,0.75,0.299578059,,,
0700EDF33B,M,L,2015_16,1065,0.2,0.061971831,,,
011017A4CF,F,H,2018_19,71,1.15,0.535211268,,,
0110179CC6,M,H,2018_19,20,0.9,0.9,,,
0700EDFA56,M,L,2015_16,121,1.7,0.719008264,,,
0700EE2C9F,F,L,2016_17,143,0.45,0.188811189,,,
030001D152,M,H,2015_16,541,0.05,0.423290203,,,
0700EE43B8,M,L,2015_16,1022,1.35,0.353228963,,,
0110179BAB,M,H,2018_19,87,0.75,0.32183908,,,
0700EE31C6,M,H,2017_18,24,0.9,0.916666667,,,
0700ED9998,F,H,2018_19,158,0.75,0.310126582,,,
0700EE42B1,M,H,2018_19,170,1.65,0.447058824,,,
01101799F5,F,H,2017_18,87,0.75,0.344827586,24,0.4,0.333333333
0700EDDE2F,M,H,2015_16,198,2.9,0.595959596,25,1.95,1.64
030003735A,M,H,2017_18,260,0.3,0.107692308,27,0.8,0.703703704
0700EDD070,M,H,2015_16,2553,0.8,0.104582844,27,1.25,1.925925926
0700EE052C,F,L,2016_17,503,0.75,0.097415507,29,0.1,0.137931034
030001CC84,M,H,2015_16,1255,0.55,0.286055777,29,2.8,2.724137931
0700EE1CDF,F,L,2018_19,120,0.45,0.291666667,30,0.4,0.366666667
0700EDE73A,F,H,2015_16,444,0.85,0.644144144,31,1.6,2.129032258
0700EDD4DE,M,H,2017_18,125,0.5,0.216,32,0.55,0.375
0700EDFC8B,F,H,2016_17,39,0.9,0.794871795,35,0.75,0.742857143
01101799BB,F,H,2016_17,300,0.55,0.176666667,35,0.35,0.228571429
0700EE3C13,F,H,2017_18,98,0.8,0.37755102,38,0.4,0.289473684
0700EDC0C6,F,H,2018_19,111,0.75,0.243243243,38,0.45,0.447368421
0700EE1D35,F,L,2016_17,139,1.05,0.510791367,43,0.45,0.465116279
0700ED8BD1,F,H,2017_18,106,0.65,0.377358491,44,0.6,0.522727273
0700EDF46D,F,H,2017_18,117,0.95,0.401709402,44,0.4,0.227272727
0700ED9998,F,H,2017_18,77,0.95,0.38961039,48,0.55,0.354166667
0700EE3386,F,L,2016_17,258,0.75,0.209302326,48,0.7,0.5
0700EE38DF,M,L,2018_19,61,1.45,0.868852459,49,0.65,0.367346939
011017A327,M,H,2017_18,85,0.55,0.247058824,49,0.55,0.367346939
0700EE1227,M,H,2016_17,165,0.85,0.4,49,0.95,0.530612245
0700EDC24A,M,L,2018_19,85,0.5,0.258823529,50,0.45,0.36
0110179A53,F,H,2018_19,45,1.95,1.422222222,51,0.7,0.549019608
0700EDD65F,M,H,2016_17,236,1.15,0.292372881,51,0.7,0.647058824
0700ED985B,F,H,2018_19,72,0.9,0.430555556,55,0.3,0.345454545
030001AA57,M,L,2016_17,386,0.6,0.142487047,63,0.35,0.158730159
0700EE0395,F,H,2018_19,126,0.75,0.349206349,65,0.65,0.230769231
0700EDF64A,M,H,2018_19,158,0.8,0.430379747,69,0.45,0.246376812
0700EDE028,M,H,2017_18,225,0.7,0.222222222,73,0.45,0.178082192
0700EDF321,M,H,2018_19,125,0.85,0.368,80,0.35,0.2375
0700EDCB97,F,H,2017_18,94,0.6,0.29787234,81,0.45,0.271604938
030001F598,M,L,2016_17,187,1.15,0.534759358,81,0.25,0.111111111
0700ED9ACB,F,H,2018_19,205,0.7,0.2,81,0.3,0.209876543
0700EE4300,M,H,2018_19,375,0.85,0.258666667,81,0.55,0.283950617
011017A21B,M,H,2018_19,92,0.75,0.456521739,86,0.8,0.453488372
011017A21B,M,H,2017_18,94,0.95,0.393617021,88,0.25,0.284090909
0700ED8E2B,M,H,2017_18,82,1.05,0.646341463,92,0.7,0.413043478
0700EE3DBD,F,L,2016_17,326,0.85,0.199386503,93,0.6,0.333333333
0700ED8728,M,L,2016_17,389,0.8,0.195372751,93,0.75,0.408602151
011017A4CF,F,H,2017_18,41,1.65,1.195121951,95,0.45,0.336842105
0700EDDE2F,M,H,2017_18,37,0.65,0.486486486,97,0.15,0.226804124
0110179DD5,F,H,2017_18,41,0.9,0.536585366,98,0.25,0.275510204
0700EDB721,M,H,2017_18,106,0.7,0.358490566,100,0.55,0.33
0700EE343A,F,L,2016_17,285,0.9,0.147368421,103,0.35,0.077669903
0700EE3876,M,L,2015_16,962,0.4,0.158004158,103,2.45,1.330097087
0700EDF321,M,H,2017_18,186,0.5,0.317204301,108,1,0.277777778
0110179BAB,M,H,2017_18,70,0.95,0.4,109,0.5,0.28440367
01101796AE,F,H,2018_19,115,1.5,0.417391304,125,0.4,0.16
0700EE28B9,M,L,2016_17,263,1.6,0.273764259,128,0.4,0.1953125
0700ED8E2B,M,H,2016_17,64,1.35,0.703125,130,0.45,0.3
0700EE2818,M,H,2016_17,144,1,0.340277778,131,0.65,0.473282443
0700EE159B,F,H,2016_17,201,1.25,0.402985075,136,0.9,0.330882353
0700EDA702,M,H,2018_19,145,1.5,0.468965517,140,0.45,0.135714286
011017975A,F,H,2017_18,141,0.8,0.255319149,141,0.5,0.170212766
0300025F50,M,H,2017_18,161,0.7,0.186335404,142,0.7,0.26056338
0700ED9AF5,M,H,2015_16,896,2.15,0.416294643,142,1.45,0.64084507
011016AE4D,F,H,2018_19,354,0.55,0.127118644,144,0.2,0.159722222
0700EDABF7,F,H,2017_18,154,1.2,0.344155844,148,0.4,0.182432432
0700EE3C13,F,H,2016_17,254,0.9,0.236220472,148,1,0.337837838
